impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K21-141392,A651662,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651662,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pie,Rabbit Sh,1 YEAR,Spayed Female,Rabbit Sh,Gray,10/30/2021 0:00,Received on,17200 block of  3RD AVE NW,SHORELINE,WA,98133,SHORELINE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651662,Image Copyright HLP Inc. 2021,"Received on: 2021-10-30<p/> Found Near: 17200 block of  3RD AVE NW<p/> Description: Gray Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K21-141735,A652759,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2350756,LOST,Aubrey,Cat,Over 1 year<p/>,Male,Domestic Shorthair,White,11/10/2021 0:00,Date Lost,25900 block of  203RD AVENUE SOUTHEAST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2350756,Image Copyright HLP Inc. 2021,"Description: Aubrey is white and grey hooded. He has green eyes, missing most teeth (he is has his bottom sabers and it pops up his lip on occasion) and a grey patch on his chin. He loves belly rubs and head and cheek scratches/scrubs. He is wearing an old green and white checkered collar.<p/>Age: Over 1 year<p/>Location Lost: 25921 203rd Avenue Southeast, Kent WA  98042<p/>Lost Date: 2021-11-10<p/>",
K21-141137,A651095,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A651095,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mateo,Cat,5 MONTHS,Neutered Male,Domestic Shorthair,Black,10/20/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651095,Image Copyright HLP Inc. 2021,"Received on: 2021-10-20<p/> Description: Black<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 5 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>10/22/21 13:38  I am able to grab this cat with a towel covering my hand.  He allowed me to pet him.  Making him an undersocialized blue. When I put hiim away he began to meow at me.  BLC<p/>",BLUE
K21-141711,A652722,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2350228,LOST,Athena,Cat,Under 1 year<p/>,Female,American Shorthair,Unknown,10/31/2021 0:00,Date Lost,COAL  CREEK PKWY SE AND NEWCASTLE WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2350228,Image Copyright HLP Inc. 2021,"Description: CALICO kitten. 8 months old. 4 white paws. Small black mole on chin. <p/>Age: Under 1 year<p/>Location Lost: Coal Creek Pkwy SE and Newcastle Way, Renton WA  98059<p/>Lost Date: 2021-10-31<p/>",
K21-141274,A651381,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2340373,LOST,Koda,Dog,Over 1 year<p/>,Male,Shiba Inu,Unknown,10/17/2021 0:00,Date Lost,CORNER  OF 232ND AVE NE AND 141ST PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2340373,Image Copyright HLP Inc. 2021,"Description: Chipped. 13 years old. Male. Shy, but curious. Wearing a mostly brown walking collar. Orange with lots of white underneath.<p/>Age: Over 1 year<p/>Location Lost: Corner of 232nd Ave NE and 141st Pl, Woodinville WA  98077<p/>Lost Date: 10/17/2021<p/>",
K21-141607,A652354,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652354,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Coconut,Dog,3 YEARS,Male,American Staffordshire,Tan,11/7/2021 0:00,Received on,10000 block of  SE 258TH PL,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652354,Image Copyright HLP Inc. 2021,"Received on: 2021-11-07<p/> Found Near: 10000 block of  SE 258TH PL<p/> Description: Tan Male American Staffordshire Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-132029,A623606,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2191003,LOST,Bubbleton,Dog,Over 1 year<p/>,Male,Pomeranian,Unknown,10/23/2020 0:00,Date Lost,AIRPORT  RD. EVERETT WA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2191003,Image Copyright HLP Inc. 2021,Description: He is blind and disabled may be agreesive<p/>Age: Over 1 year<p/>Location Lost: Airport rd. Everett WA<p/>Lost Date: 10/21/2022<p/>Owner Address: 12433 Admiralty way Everett WA 98204<p/>,
K21-141672,A652510,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652510,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Male,Domestic Shorthair,Black,11/9/2021 0:00,Received on,15600 block of  NE 8TH ST,BELLEVUE,WA,98008,BELLEVUE,47.618878,-122.13072,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652510,Image Copyright HLP Inc. 2021,"Received on: 2021-11-09<p/> Found Near: 15600 block of  NE 8TH ST<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141462,A651894,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651894,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Bird,1 YEAR,Female,Chicken,White / Black,11/1/2021 0:00,Received on,24400 block of  119TH AVE SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651894,Image Copyright HLP Inc. 2021,"Received on: 2021-11-01<p/> Found Near: 24400 block of  119TH AVE SE<p/> Description: White / Black Female Chicken Bird<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141107,A651059,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651059,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Linda,Cat,7 YEARS,Spayed Female,Domestic Shorthair,Tortie,10/19/2021 0:00,Received on,14500 block of  NE 29TH PL,BELLEVUE,WA,98007,BELLEVUE,47.636478,-122.14712,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651059,Image Copyright HLP Inc. 2021,"Received on: 2021-10-19<p/> Found Near: 14500 block of  NE 29TH PL<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 7 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-140778,A650316,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2332144,LOST,Kitty,Cat,Over 1 year<p/>,Male,Russian Blue,Unknown,10/1/2021 0:00,Date Lost,148TH  & 216TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2332144,Image Copyright HLP Inc. 2021,"Description: Kitty is 1/2 Russian blue, black/grey/white striped green eyes, blue heart tag says Kitty 206 940 4218  5 years old<p/>Age: Over 1 year<p/>Location Lost: 148th & 216th, Kent WA  98042<p/>Lost Date: 10/01/2021<p/>",
K21-141370,A651594,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A651594,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Newman,Cat,1 YEAR,Neutered Male,Domestic Longhair,Gray,10/29/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651594,Image Copyright HLP Inc. 2021,"Received on: 2021-10-29<p/> Description: Gray<p/>  Neutered Male Domestic Longhair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Newman and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on October 30, 2021.<p/><p/>I am a sweet cat who may need extra time and attention to warm up to new situations and new people. When I was a wee little one, I was not taught how nice and friendly people can be, but I am learning quickly! Though I may be timid at first, once you take the time to show me I can trust you I will show you just how wonderful I can be.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K21-141309,A651446,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2341108,LOST,Castiel,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,10/25/2021 0:00,Date Lost,TIMBERLANE  DR SE,COVI,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2341108,Image Copyright HLP Inc. 2021,"Description: All black large fixed male, skittish at first but very friendly, purrs very loud and immediately, perfect straight tail<p/>Age: Over 1 year<p/>Location Lost: Timberlane Dr se, Covington, Covington WA  98042<p/>Lost Date: 10/25/2021<p/>",
K21-141490,A652029,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2344315,In Public Home,,Dog,Under 1 year<p/>,Male,Chihuahua - Long Haired,White / Brown,11/1/2021 0:00,Date Found,THOMAS  ROAD/180TH AVE SE COVINGTON 98092 BETWEEN KENT/BLACK DIAMOND AND COVINGTON SAWYER ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2344315,Image Copyright HLP Inc. 2021,"Description: Young male about 15 pounds silky hair, very playful, doesn’t like collar<p/>Age: Under 1 year<p/>Found Near: Thomas road/180th Ave SE Covington 98092 between Kent/Black Diamond and Covington Sawyer road, Auburn WA  98092<p/>Found Date: 11/01/2021<p/>",
K21-141478,A651980,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Yakima,Cat,2 YEARS,Female,Domestic Longhair,Gray / White,11/2/2021 0:00,Received on,9400 block of  S 204TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651980,Image Copyright HLP Inc. 2021,Received on: 2021-11-02<p/> Found Near: 9400 block of  S 204TH PL<p/> Description: Gray / White Female Domestic Longhair Cat<p/> Age: 2 YEARS<p/> Current Location: In RASKC Foster Home <p/>,RED
K21-141609,A652356,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652356,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,1 YEAR,Female,Rabbit Sh,Gray,11/7/2021 0:00,Received on,25300 block of  BAKER ST,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652356,Image Copyright HLP Inc. 2021,"Received on: 2021-11-07<p/> Found Near: 25300 block of  BAKER ST<p/> Description: Gray Female Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141614,A652367,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2348615,LOST,Lola,Cat,Unknown<p/>,Female,Domestic Shorthair,Unknown,11/5/2021 0:00,Date Lost,87TH  AVE SE,MERCER I,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2348615,Image Copyright HLP Inc. 2021,"Description: Lola is a 3 year old tortoishell.  She has black and brown markings on her back, with cream colored markings on her face, chest and belly,<p/>Age: Unknown<p/>Location Lost: 87th AVE SE, Mercer Island, Mercer Island WA  98040<p/>Lost Date: 11/05/2021<p/>",
K21-140626,A649838,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2330366,LOST,Daisy,Dog,Over 1 year<p/>,Female,Chihuahua - Smooth Coated,Unknown,10/3/2021 0:00,Date Lost,JAMES  HILL IN KENT,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2330366,Image Copyright HLP Inc. 2021,"Description: Chiweenie. Mostly tan with a white spot on the back of her neck. Wearing a bright pink collar with a tag that has her name and my phone number on it.<p/>Age: Over 1 year<p/>Location Lost: James Hill in Kent, Kent WA  98031<p/>Lost Date: 10/03/2021<p/>",
K21-141710,A652719,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2350167,LOST,Lightning Mc,Cat,Over 1 year<p/>,Female,Bengal,Unknown,11/8/2021 0:00,Date Lost,E  SPRING LAKE SR SE AND SE 188TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2350167,Image Copyright HLP Inc. 2021,"Description: Brown marble bengal<p/>Age: Over 1 year<p/>Location Lost: E spring lake sr Se and Se 188th st, Renton WA  98058<p/>Lost Date: 2021-11-08<p/>",
K21-141300,A651423,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651423,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pelagic,Cat,6 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,10/26/2021 0:00,Received on,4600 block of  S 170TH ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651423,Image Copyright HLP Inc. 2021,"Received on: 2021-10-26<p/> Found Near: 4600 block of  S 170TH ST<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141526,A652102,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A652102,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pilgrim,Cat,14 WEEKS,Spayed Female,Domestic Shorthair,Black / White,11/3/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652102,Image Copyright HLP Inc. 2021,"Received on: 2021-11-03<p/> Description: Black / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 14 WEEKS<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Pilgrimand I am available for adoption.<p/><p/>I was brought in by my previous owner on November 3, 2021 because they had too many cats. <p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home once I get to know you.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K21-141575,A652263,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2347851,LOST,Cedar,Dog,Over 1 year<p/>,Male,Labrador Retriever,Unknown,11/5/2021 0:00,Date Lost,HOME HOME,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2347851,Image Copyright HLP Inc. 2021,"Description: He is scared of people and does not like to be pet<p/>Age: Over 1 year<p/>Location Lost: Home, SEATTLE WA  98168<p/>Lost Date: 11/05/2021<p/>",
K21-140804,A650374,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2332536,LOST,Schrodinger,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,10/6/2021 0:00,Date Lost,SE  332ND PLACE AND AUBURN BLACK DIAMOND RD.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2332536,Image Copyright HLP Inc. 2021,"Description: Smallish, grey and white tabby male cat with a white belly and front legs/paws, rear feet are also white.  He is microchipped, unsure if our information is up to date (Our phone number should be).  Wearing white collar with apple tracker if it’s stil<p/>Age: Over 1 year<p/>Location Lost: SE 332nd Place and Auburn Black Diamond Rd., Auburn WA  98092<p/>Lost Date: 10/06/2021<p/>",
K21-141680,A652530,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2349612,LOST,Screechy,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,11/8/2021 0:00,Date Lost,"27000 block of  BLOCK OF 117TH AVE SE AND SE 276TH ST, KENT",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2349612,Image Copyright HLP Inc. 2021,"Description: neutered 14lb brown tabby male, white fur on chin and mouth, yellow green eyes, each one of his ears have a tiny missing/cut piece on the outer ear parts from old fights. Has a hot spot/bald spot on left side over ribcage. Green line tattoo on belly.<p/>Age: Over 1 year<p/>Location Lost: 27000 block of 117TH AVE SE and SE 276TH ST, KENT, KENT WA  98030<p/>Lost Date: 11/08/2021<p/>",
K21-140904,A650623,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2333770,LOST,Pepe Le Pew,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,10/12/2021 0:00,Date Lost,GLENBRIER GLENBRIER,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2333770,Image Copyright HLP Inc. 2021,"Description: Pepe is a beautiful very large boy weighing around 25 to 30 pounds. He is a semi long haired and he is black on top and white on his belly and legs. He has black spots on his front legs and very  distinct spots  on his mouth and nose. He has black ears that comes down over his eyes and he then has a while face with a widow's peak that's also white. His exotic eyes lined in black are a goldy/green color. His front paws are very large about 3"" in diameter.  He is a loving jokester of a guy, but will definitely defend himself.<p/>Age: Over 1 year<p/>Location Lost: Glenbrier, Sumner WA  98352<p/>Lost Date: 2021-10-12<p/>",
K21-141568,A652241,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652241,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Aspen,Dog,NO AGE,Female,Pit Bull,Brown,11/5/2021 0:00,Received on,18700 block of  INTERNATIONAL BLVD,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652241,Image Copyright HLP Inc. 2021,"Received on: 2021-11-05<p/> Found Near: 18700 block of  INTERNATIONAL BLVD<p/> Description: Brown Female Pit Bull Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K21-141759,A649092,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A649092,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Harold,Cat,16 WEEKS,Neutered Male,Domestic Shorthair,Brn Tabby,11/12/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A649092,Image Copyright HLP Inc. 2021,"Received on: 2021-11-12<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 16 WEEKS<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hello, my name is Harold and I am available for adoption.<p/><p/>I was brought in to the shelter on 9/23/21 by a good samaritan.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K21-138406,A644057,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A644057,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Spuds,Cat,9 YEARS 3 MONTHS,Neutered Male,Domestic Shorthair,Orange,7/24/2021 0:00,Received on,3800 block of  S 250TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A644057,Image Copyright HLP Inc. 2021,"Received on: 2021-07-24<p/> Found Near: 3800 block of  S 250TH ST<p/> Description: Orange Neutered Male Domestic Shorthair Cat<p/> Age: 9 YEARS 3 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K21-141427,A651762,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2343331,In Public Home,,Cat,Unknown<p/>,Male,Domestic Shorthair,Black,10/25/2021 0:00,Date Found,S  212TH ST AND 98TH AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2343331,Image Copyright HLP Inc. 2021,"Description: Small, young all-black cat with big green/yellow eyes. Very sweet, friendly and vocal with an expressive tail.<p/>Age: Unknown<p/>Found Near: S 212th St and 98th Ave S, Kent WA  98031<p/>Found Date: 10/25/2021<p/>",
K21-141157,A651150,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,5 YEARS,Neutered Male,Domestic Mediumhair,Brn Tabby,10/21/2021 0:00,Received on,2900 block of  S 259TH PL,KENT,WA,98032,KENT,47.370212,-122.295776,,Image Copyright HLP Inc. 2021,Received on: 2021-10-21<p/> Found Near: 2900 block of  S 259TH PL<p/> Description: Brn Tabby Neutered Male Domestic Mediumhair Cat<p/> Age: 5 YEARS<p/>,
K21-141386,A651618,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2342444,LOST,Taco,Dog,Over 1 year<p/>,Male,Chihuahua - Smooth Coated,Unknown,10/28/2021 0:00,Date Lost,SO.  12TH ST. AND FERRY STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2342444,Image Copyright HLP Inc. 2021,"Description: Tan and white<p/>Age: Over 1 year<p/>Location Lost: So. 12th st. And ferry street, Tacoma WA  98405<p/>Lost Date: 2021-10-28<p/>",
K21-141612,A652359,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,7 WEEKS,Male,Domestic Longhair,Brn Tabby,11/7/2021 0:00,Received on,3700 block of  S 144TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652359,Image Copyright HLP Inc. 2021,Received on: 2021-11-07<p/> Found Near: 3700 block of  S 144TH ST<p/> Description: Brn Tabby Male Domestic Longhair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K21-141326,A651472,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A651472,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rudy,Dog,2 YEARS,Neutered Male,Siberian Husky,Red,10/27/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651472,Image Copyright HLP Inc. 2021,"Received on: 2021-10-27<p/> Description: Red<p/>  Neutered Male Siberian Husky Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $125.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Rudy and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 10/27.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/><p/>",RED
K21-141653,A652481,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2349210,LOST,Lekai,Dog,Over 1 year<p/>,Male,Australian Cattle Dog,Unknown,11/5/2021 0:00,Date Lost,CAPITOL  FOREST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2349210,Image Copyright HLP Inc. 2021,"Description: He's microchipped. He has his e-collar, prong collar and flea collar on. He have a full mask. Top right canine tooth missing.<p/>Age: Over 1 year<p/>Location Lost: Capitol Forest, Tumwater WA  98512<p/>Lost Date: 11/05/2021<p/>",
K21-141606,A652353,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652353,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Neutered Male,Domestic Longhair,Brn Tabby,11/7/2021 0:00,Received on,26700 block of  168TH PL SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652353,Image Copyright HLP Inc. 2021,"Received on: 2021-11-07<p/> Found Near: 26700 block of  168TH PL SE<p/> Description: Brn Tabby Neutered Male Domestic Longhair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141737,A652771,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Shorthair,Brn Tabby,11/12/2021 0:00,Received on,4600 block of  S 168TH ST,SEATAC,WA,98188,SEATAC,,,,Image Copyright HLP Inc. 2021,Received on: 2021-11-12<p/> Found Near: 4600 block of  S 168TH ST<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: NO AGE<p/>,
